method,dataset,target,auc_mean,auc_sample_std,original_accuracy_mean,original_accuracy_sample_std,released_exact_unsupervised_label_balanced_accuracy_mean,released_exact_unsupervised_label_balanced_accuracy_sample_std,paper_intended_100_shot_unsupervised_label_balanced_accuracy_mean,paper_intended_100_shot_unsupervised_label_balanced_accuracy_sample_std,paper_intended_100_shot_supervised_accuracy_mean,paper_intended_100_shot_supervised_accuracy_sample_std,strict_label_free_random_100_shot_heldout_accuracy_mean,strict_label_free_random_100_shot_heldout_accuracy_sample_std,full_target_transductive_unsupervised_accuracy_mean,full_target_transductive_unsupervised_accuracy_sample_std,full_target_label_oracle_accuracy_mean,full_target_label_oracle_accuracy_sample_std,strict_label_free_accuracy_delta_mean,strict_label_free_accuracy_delta_sample_std
univfd,aigi_holmes_p3,Janus-Pro-1B,0.9264694999999998,0.0004794183976445269,0.69025,0.0017677669529664096,0.85075,0.00035355339059323483,0.850075,0.0013081475451950473,0.8512500000000001,7.071067811856845e-05,0.8476315789473684,0.0014886458551294842,0.85075,0.00035355339059323483,0.85375,0.00035355339059323483,0.15738157894736843,0.0032564128080958938
univfd,aigi_holmes_p3,Janus-Pro-7B,0.88160125,0.0009945456877389414,0.66025,0.0010606601717798615,0.7989999999999999,0.0035355339059327407,0.7985500000000001,0.001060660171779783,0.79805,0.002474873734152958,0.7945,0.004726450590036438,0.79975,0.0017677669529664096,0.8029999999999999,0.0007071067811865481,0.13424999999999998,0.005787110761816299
univfd,aigi_holmes_p3,Show-o,0.95068975,0.0011699081694730665,0.7835,0.0014142135623730963,0.877,0.0028284271247461927,0.8754,0.0021920310216782127,0.8745,0.0016263455967291157,0.8731052631578946,0.0008187552203212869,0.877,0.0028284271247461927,0.87775,0.002474873734152879,0.08960526315789469,0.0005954583420518094
univfd,aigi_holmes_p3,LlamaGen,0.9464904999999999,0.0003104198769409497,0.73275,0.001767766952966331,0.88,0.005656854249492385,0.879675,0.0005303300858898523,0.8781249999999999,0.0004596194077712838,0.8755263157894737,0.0011164843913473094,0.88525,0.0010606601717798615,0.886,0.0014142135623730963,0.14277631578947364,0.0006512825616190218
univfd,aigi_holmes_p3,Infinity,0.95636525,0.0011140467337592932,0.81225,0.00035355339059323483,0.8867499999999999,0.006010407640085699,0.883775,0.003075914498161457,0.8826999999999998,0.0023334523779155853,0.8826578947368422,0.0022701849290725773,0.8835,0.0035355339059327407,0.88925,0.002474873734152958,0.07040789473684211,0.0019166315384793423
univfd,aigi_holmes_p3,VAR,0.71131575,0.0003433003422660098,0.529,0.0,0.651,0.0007071067811865481,0.65115,0.0,0.648875,0.00031819805153398986,0.6526315789473685,0.0003721614637824103,0.65225,0.0045961940777125235,0.6585000000000001,0.0007071067811865481,0.12363157894736843,0.0003721614637824103
univfd,aigi_holmes_p3,PixArt-XL,0.93587975,0.0009111070875588847,0.7597499999999999,0.00035355339059331333,0.8545,0.0007071067811865481,0.8588500000000001,0.00035355339059331333,0.8586500000000001,0.00042426406871196026,0.8594473684210526,0.00048380990291707057,0.86025,0.0017677669529664096,0.8645,0.0014142135623730963,0.0996973684210527,0.0008373632935103839
univfd,aigi_holmes_p3,SD3.5-L,0.835615,0.0013569379130969875,0.5780000000000001,0.0007071067811865481,0.7629999999999999,0.009192388155425125,0.764875,0.0012374368670764004,0.7637750000000001,0.002156675682618968,0.7637368421052633,0.003796046930580412,0.7675000000000001,0.0007071067811865481,0.77,0.0035355339059327407,0.1857368421052632,0.003088940149393864
univfd,aigi_holmes_p3,FLUX,0.919626,0.0015690699474528499,0.72775,0.002474873734152958,0.8434999999999999,0.0021213203435596446,0.84155,0.0007071067811865481,0.83985,0.000919238815542332,0.8420000000000001,0.00133978126961663,0.845,0.0028284271247461927,0.8465,0.0021213203435596446,0.11425000000000002,0.0038146550037695876
univfd,opensdid_global,Mean,0.9225201000000001,0.0011525840533341653,0.7293499999999999,0.0007778174593051951,0.84275,0.0010606601717798615,0.8416,0.0011030865786510182,0.8408800000000001,0.0013152186130070377,0.8408473684210527,0.0011685869962767023,0.8429,0.0016970562748477628,0.846,0.0014142135623730963,0.11149736842105268,0.00039076953697150726
univfd,opensdid_global,SD1.5,0.9361524999999999,0.0008244865068635146,0.745,0.0,0.8625,0.004949747468305837,0.859575,0.001166726188957832,0.858725,0.000883883476483244,0.8578947368421053,0.0011164843913471524,0.86475,0.001767766952966331,0.8652500000000001,0.0017677669529664096,0.11289473684210521,0.0011164843913471524
univfd,opensdid_global,SD2.1,0.9387945,0.0007912524881478119,0.7545,0.0021213203435596446,0.86575,0.00035355339059323483,0.86405,0.0004949747468306073,0.8625500000000001,0.0006363961030679011,0.8612631578947368,0.002232968782694305,0.8640000000000001,0.0007071067811865481,0.8665,0.0007071067811865481,0.10676315789473684,0.00011164843913466029
univfd,opensdid_global,SDXL,0.885428,0.0017967583309951066,0.69025,0.0017677669529664096,0.7995000000000001,0.0021213203435596446,0.7994000000000001,0.0011313708498984299,0.7995000000000001,0.0014142135623731748,0.7998947368421053,0.0014142135623730963,0.79925,0.0010606601717798615,0.804,0.0021213203435596446,0.10964473684210535,0.00035355339059331333
univfd,opensdid_global,SD3,0.9319175,0.0011561195872401213,0.73075,0.00035355339059323483,0.85175,0.0031819805153394274,0.849525,0.002510229073212046,0.848975,0.0023688077169748303,0.8516315789473683,0.00133978126961663,0.8505,0.0028284271247461927,0.8555,0.0014142135623730963,0.12088157894736834,0.0016933346602098648
univfd,opensdid_global,Flux.1,0.920308,0.0011943033534241151,0.7262500000000001,0.00035355339059331333,0.8342499999999999,0.001060660171779783,0.83545,0.00021213203435601938,0.8346499999999999,0.001272792206135724,0.8335526315789474,0.0002605130246476715,0.8360000000000001,0.0021213203435596446,0.83875,0.0010606601717798615,0.10730263157894743,0.0006140664152409849
rine,genimage,Mean,0.8589263391617064,0.017489167523780873,0.551358630952381,0.03219650787313387,0.7927261904761904,0.0162971277187757,0.7923549107142857,0.01566851820823867,0.7913375,0.016109407704246386,0.7917907427121792,0.015519751777442189,0.7941130952380953,0.016393934004295282,0.7969032738095239,0.015688931707576462,0.24043211175979823,0.04771625965057606
rine,genimage,BigGAN,0.9009744375,0.040314917276077174,0.5019583333333333,0.0014731391274719688,0.8205,0.043015662522181614,0.8191416666666667,0.04200214280248093,0.8200583333333331,0.04385240554658576,0.8154663865546219,0.039734647443650795,0.8202499999999999,0.04466557834495028,0.8235416666666666,0.04319243921747823,0.31350805322128855,0.04120778657112276
rine,genimage,ADM,0.6500914166666667,0.016863377145562308,0.5002083333333334,0.00017677669529661742,0.6077083333333333,0.01054767615269935,0.607525,0.01088944443027273,0.5998958333333333,0.011991352497621843,0.6079327731092438,0.01183661099263533,0.608875,0.010901229543292663,0.6097916666666666,0.010665527282897094,0.10772443977591045,0.012013387687931948
rine,genimage,glide,0.8635392916666667,0.0494879287415122,0.5039583333333333,0.00276950155964732,0.7789999999999999,0.04631549416771886,0.7780958333333333,0.0479713025469973,0.7767333333333334,0.0485310954154367,0.7795252100840335,0.04901616670594805,0.7804583333333333,0.047317228774399776,0.783625,0.049909953638750476,0.27556687675070024,0.051785668265595365
rine,genimage,stable_diffusion_v_1_5,0.9899036171875,0.003278798901644803,0.70346875,0.12502531774854644,0.94425,0.0014142135623730963,0.944609375,0.008383634774443012,0.9482875000000002,0.007654430906344358,0.9447452830188678,0.010286402420657216,0.94825,0.0078665629407003,0.95103125,0.00738042702863466,0.24127653301886787,0.11473891532788924
rine,genimage,VQDM,0.7841112361111111,0.029531214772374248,0.5049166666666667,0.0045961940777125235,0.7093333333333334,0.02663435542469326,0.7108666666666666,0.02499622471494445,0.7044791666666668,0.028042676430556586,0.7100378151260504,0.025057725178686277,0.7124166666666667,0.026516504294495515,0.7135416666666666,0.02504336516702355,0.20512114845938367,0.029653919256398802
